,assists,goals,h_a,id,key_passes,match_id,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card
5363,0,0,a,372944,0,11837,0,David McGoldrick,7711,Sub,17,0,0,372943,0,238,30,0,0,0.2940512001514435,0.2940512001514435,0
5364,0,0,h,372699,0,11838,0,Martin Dubravka,6532,GK,1,0,0,0,0,86,90,0,0,0.13693594932556152,0.13693594932556152,0
5365,0,0,h,372701,1,11838,0,Florian Lejeune,5073,DC,3,0,372710,0,1,86,75,0.051249224692583084,0.049206946045160294,0.051249224692583084,0.10045617073774338,0
5366,0,1,h,372702,2,11838,0,Fabian Schär,76,DC,3,0,0,0,3,86,90,0.07676944881677628,0.1706032007932663,0.3453967273235321,0.47341540455818176,0
5367,0,0,h,372700,0,11838,0,Federico Fernández,708,DC,3,0,0,0,0,86,90,0,0,0.09254195541143417,0.09254195541143417,0
5368,0,0,h,372703,1,11838,0,DeAndre Yedlin,727,DMR,5,0,0,0,0,86,90,0.01885884255170822,0,0.7679352164268494,0.7679352164268494,0
5369,0,0,h,372704,3,11838,0,Jetro Willems,6143,DML,6,0,372712,0,2,86,86,0.27306538820266724,0.05806620419025421,0.15469802916049957,0.47215741872787476,0
5370,0,0,h,372707,2,11838,0,Jonjo Shelvey,769,MC,9,0,0,0,2,86,90,0.06680094450712204,0.08121277391910553,0.8863338828086853,1.0212352275848389,0
5371,0,0,h,372705,0,11838,0,Miguel Almirón,7420,MC,9,0,0,0,4,86,90,0,0.8251089453697205,0.18540547788143158,1.010514497756958,0
5372,0,0,h,372706,1,11838,0,Isaac Hayden,6062,MC,9,0,0,0,1,86,90,0.0928635224699974,0.016541849821805954,0.37775012850761414,0.37775012850761414,1
5373,0,0,h,372708,2,11838,0,Joelinton,87,FW,15,0,372711,0,2,86,75,0.6545544862747192,0.21813949942588806,0.20126190781593323,1.0739558935165405,1
5374,1,0,h,372709,3,11838,0,Andy Carroll,537,FW,15,0,0,0,5,86,90,0.2876056134700775,0.21322812139987946,0.0928635224699974,0.4800897240638733,0
5375,0,0,h,372710,0,11838,0,Christian Atsu,2344,Sub,17,0,0,372701,0,86,15,0,0,0,0,0
5376,0,0,h,372711,0,11838,0,Dwight Gayle,743,Sub,17,0,0,372708,0,86,15,0,0,0,0,0
5377,0,0,h,372712,0,11838,0,Sean Longstaff,7078,Sub,17,0,0,372704,0,86,4,0,0,0,0,0
5378,0,0,a,372713,0,11838,0,Jordan Pickford,741,GK,1,0,0,0,0,72,90,0,0,0.1340527981519699,0.1340527981519699,0
5379,0,0,a,372714,2,11838,0,Djibril Sidibe,3357,DR,2,0,0,0,2,72,90,0.08086955547332764,0.051594894379377365,0.18991924822330475,0.27599555253982544,0
5380,0,0,a,372716,0,11838,0,Mason Holgate,985,DC,3,0,0,0,1,72,90,0,0.08580493927001953,0.2082609087228775,0.2082609087228775,0
5381,0,0,a,372715,1,11838,0,Michael Keane,1653,DC,3,0,0,0,1,72,90,0.125253826379776,0.08334402740001678,0.1340527981519699,0.2593066096305847,0
5382,0,0,a,372717,1,11838,0,Leighton Baines,588,DL,4,0,372724,0,0,72,81,0.07050621509552002,0,0.0980067029595375,0.0980067029595375,0
5383,0,0,a,372718,0,11838,0,Theo Walcott,503,MR,8,0,372725,0,2,72,71,0,0.1355253905057907,0.7769083976745605,0.8916387557983398,0
5384,0,0,a,372719,2,11838,0,Gylfi Sigurdsson,714,MC,9,0,0,0,2,72,90,0.1026664674282074,0.07400434464216232,0.6956504583358765,0.7149729132652283,0
5385,0,0,a,372720,1,11838,0,Tom Davies,1042,MC,9,0,0,0,1,72,90,0.07190120220184326,0.08388882875442505,0.5454578995704651,0.5454578995704651,1
5386,1,0,a,372721,3,11838,0,Richarlison,6026,ML,10,0,0,0,3,72,90,0.8197969198226929,0.14595523476600647,0.019322440028190613,0.7736412882804871,0
5387,0,0,a,372722,1,11838,0,Moise Kean,1304,FW,15,0,372726,0,5,72,62,0.1147303581237793,0.7756993770599365,0.1147303581237793,0.8199235200881958,0
5388,0,2,a,372723,5,11838,0,Dominic Calvert-Lewin,5555,FW,15,0,0,0,4,72,90,0.691413164138794,1.3717806339263916,0.26086023449897766,1.480217695236206,1
5389,0,0,a,372725,0,11838,0,Seamus Coleman,585,Sub,17,0,0,372718,0,72,19,0,0,0,0,0
5390,0,0,a,372726,0,11838,0,Fabian Delph,876,Sub,17,0,0,372722,0,72,28,0,0,0,0,0
5391,0,0,a,372724,0,11838,0,Yerry Mina,6521,Sub,17,0,0,372717,1,72,9,0,0.07190120220184326,0,0,0
5392,0,0,h,372780,0,11839,0,Tim Krul,982,GK,1,0,0,0,0,79,90,0,0,0.04690750315785408,0.04690750315785408,1
5393,0,0,h,372781,0,11839,0,Max Aarons,7688,DR,2,0,0,0,0,79,90,0,0,0.017968185245990753,0.017968185245990753,0
5394,0,0,h,372782,0,11839,0,Christoph Zimmermann,7990,DC,3,0,0,0,0,79,90,0,0,0.04690750315785408,0.04690750315785408,0
5395,0,0,h,372783,0,11839,0,Grant Hanley,7690,DC,3,0,0,0,1,79,90,0,0.05825614556670189,0.04690750315785408,0.04690750315785408,0
5396,0,0,h,372784,0,11839,0,Jamal Lewis,7691,DL,4,0,0,0,1,79,90,0,0.017968185245990753,0.04690750315785408,0.06487569212913513,1
5397,0,1,h,372785,1,11839,0,Mario Vrancic,12,DMC,7,0,372791,0,1,79,77,0.04690750315785408,0.06343495100736618,0.04690750315785408,0.11034245789051056,1
5398,0,0,h,372786,1,11839,0,Alexander Tettey,791,DMC,7,0,372792,0,0,79,88,0.017968185245990753,0,0,0.017968185245990753,0
5399,1,0,h,372787,2,11839,0,Emiliano Buendía,2203,AMR,11,0,0,0,0,79,90,0.12169110029935837,0,0.06487569212913513,0.12831063568592072,0
5400,0,0,h,372788,0,11839,0,Marco Stiepermann,7694,AMC,12,0,372793,0,1,79,72,0,0.0814853385090828,0.06487569212913513,0.14636102318763733,0
5401,0,0,h,372789,0,11839,0,Onel Hernández,7697,AML,13,0,0,0,1,79,90,0,0.04690750315785408,0,0.04690750315785408,0
5402,0,0,h,372790,0,11839,0,Teemu Pukki,7696,FW,15,0,0,0,0,79,90,0,0,0.04690750315785408,0.04690750315785408,0
5403,0,0,h,372792,0,11839,0,Todd Cantwell,7695,Sub,17,0,0,372786,0,79,2,0,0,0,0,0
5404,0,0,h,372793,0,11839,0,Kenny McLean,7693,Sub,17,0,0,372788,0,79,18,0,0,0,0,0
5405,0,0,h,372791,0,11839,0,Tom Trybull,7692,Sub,17,0,0,372785,0,79,13,0,0,0,0,0
5406,0,0,a,372794,0,11839,0,Paulo Gazzaniga,973,GK,1,0,0,0,0,82,90,0,0,0.31096965074539185,0.31096965074539185,0
5407,0,0,a,372795,0,11839,0,Juan Foyth,6306,DC,3,0,372807,0,0,82,48,0,0,0,0,0
5408,0,0,a,372796,1,11839,0,Toby Alderweireld,639,DC,3,0,0,0,0,82,90,0.31096965074539185,0,0.09783700853586197,0.4088066518306732,1
5409,0,0,a,372797,0,11839,0,Jan Vertonghen,640,DC,3,0,372806,0,0,82,48,0,0,0.01574612595140934,0.01574612595140934,0
5410,0,0,a,372798,2,11839,0,Tanguy NDombele Alvaro,5962,DMC,7,0,0,0,0,82,90,0.07069869339466095,0,0.6937628984451294,0.7145739197731018,0
5411,0,0,a,372799,0,11839,1,Serge Aurier,3600,MR,8,0,0,0,0,82,90,0,0,0.15290166437625885,0.15290166437625885,0
5412,0,1,a,372801,2,11839,0,Christian Eriksen,646,MC,9,0,0,0,4,82,90,0.2290947437286377,0.2005012333393097,0.09900405257940292,0.40589454770088196,1
5413,0,0,a,372800,1,11839,0,Giovani Lo Celso,5681,MC,9,0,372805,0,2,82,76,0.04105621576309204,0.0674934983253479,0.1985125094652176,0.3070622384548187,0
5414,0,0,a,372802,2,11839,0,Ryan Sessegnon,6837,ML,10,0,0,0,1,82,90,0.04794934019446373,0.09263186901807785,0.10885767638683319,0.23300009965896606,0
5415,0,0,a,372804,2,11839,0,Dele Alli,645,FW,15,0,0,0,4,82,90,0.0674934983253479,0.3184604048728943,0.32671576738357544,0.7126696705818176,0
5416,0,1,a,372803,2,11839,0,Harry Kane,647,FW,15,0,0,0,2,82,90,0.12517690658569336,1.0721017122268677,0.04561085253953934,0.48175740242004395,0
5417,0,0,a,372807,0,11839,0,Davinson Sánchez,6249,Sub,17,0,0,372795,0,82,42,0,0,0.10885767638683319,0.10885767638683319,0
5418,0,0,a,372805,0,11839,0,Erik Lamela,644,Sub,17,0,0,372800,1,82,14,0,0.02081102877855301,0.04988766834139824,0.07069869339466095,0
5419,0,0,a,372806,1,11839,0,Lucas Moura,3293,Sub,17,0,0,372797,1,82,42,0.04561085253953934,0.04988766834139824,0.09900405257940292,0.1945025771856308,1
5420,0,0,h,372727,0,11840,0,Alex McCarthy,635,GK,1,0,0,0,0,74,90,0,0,0.06319887936115265,0.06319887936115265,0
5421,0,0,h,372728,0,11840,0,Cédric Soares,847,DR,2,0,0,0,1,74,90,0,0.013955249451100826,0.07125740498304367,0.08521265536546707,0
5422,0,0,h,372729,0,11840,0,Jan Bednarek,6042,DC,3,0,0,0,1,74,90,0,0.552640438079834,0.09938175231218338,0.09938175231218338,0
5423,0,0,h,372730,0,11840,0,Jack Stephens,1735,DC,3,0,0,0,0,74,90,0,0,0.06319887936115265,0.06319887936115265,0
5424,0,0,h,372731,0,11840,0,Ryan Bertrand,835,DL,4,0,0,0,0,74,90,0,0,0.013955249451100826,0.013955249451100826,0
5425,0,0,h,372732,0,11840,0,Sofiane Boufal,1734,MR,8,0,372739,0,0,74,69,0,0,0,0,0
5426,0,0,h,372734,4,11840,0,James Ward-Prowse,843,MC,9,0,0,0,2,74,90,0.7849363088607788,0.08596757054328918,0.09938175231218338,0.19332879781723022,1
5427,0,0,h,372733,1,11840,0,Pierre-Emile Højbjerg,343,MC,9,0,0,0,2,74,90,0.013955249451100826,0.03881368041038513,0.09938175231218338,0.1381954401731491,0
5428,0,0,h,372735,1,11840,0,Nathan Redmond,790,ML,10,0,0,0,0,74,90,0.008058522827923298,0,0.008058522827923298,0.008058522827923298,0
5429,0,0,h,372737,1,11840,0,Che Adams,7700,FW,15,0,372738,0,1,74,64,0.03075515851378441,0.08651886135339737,0,0.03075515851378441,0
5430,0,1,h,372736,0,11840,0,Danny Ings,986,FW,15,0,0,0,6,74,90,0,0.6432440876960754,0,0.5606659054756165,0
