,X,Y,a_goals,a_team,date,h_a,h_goals,h_team,id,lastAction,match_id,minute,player,player_assisted,player_id,result,season,shotType,situation,xG
24,0.909000015258789,0.38599998474121094,1,Norwich,2019-08-09 20:00:00,a,4,Liverpool,309913,Throughball,11643,63,Teemu Pukki,Emiliano Buendía,7696,Goal,2019,RightFoot,OpenPlay,0.3120565712451935
25,0.754000015258789,0.7419999694824219,1,Norwich,2019-08-09 20:00:00,a,4,Liverpool,309916,Standard,11643,79,Emiliano Buendía,,2203,SavedShot,2019,RightFoot,DirectFreekick,0.03860388323664665
26,0.7469999694824219,0.72,1,Norwich,2019-08-09 20:00:00,a,4,Liverpool,309918,Pass,11643,90,Ben Godfrey,Jamal Lewis,7689,SavedShot,2019,RightFoot,OpenPlay,0.008998467586934566
27,0.9390000152587891,0.6509999847412109,1,Norwich,2019-08-09 20:00:00,a,4,Liverpool,309919,Rebound,11643,90,Onel Hernández,,7697,BlockedShot,2019,LeftFoot,OpenPlay,0.049240197986364365
28,0.88,0.4620000076293945,5,Manchester City,2019-08-10 12:30:00,h,0,West Ham,309926,HeadPass,11644,34,Sébastien Haller,Michail Antonio,6144,SavedShot,2019,RightFoot,OpenPlay,0.07705286890268326
29,0.9530000305175781,0.5379999923706055,5,Manchester City,2019-08-10 12:30:00,h,0,West Ham,309932,Aerial,11644,59,Issa Diop,Robert Snodgrass,3203,MissedShots,2019,Head,SetPiece,0.4703182280063629
30,0.935,0.5029999923706054,5,Manchester City,2019-08-10 12:30:00,h,0,West Ham,309933,None,11644,72,Chicharito,,191,SavedShot,2019,LeftFoot,OpenPlay,0.5248481035232544
31,0.9219999694824219,0.53,5,Manchester City,2019-08-10 12:30:00,h,0,West Ham,309934,None,11644,72,Manuel Lanzini,,535,SavedShot,2019,Head,OpenPlay,0.07047868520021439
32,0.754000015258789,0.62,5,Manchester City,2019-08-10 12:30:00,h,0,West Ham,309938,Standard,11644,93,Chicharito,,191,MissedShots,2019,RightFoot,DirectFreekick,0.057605065405368805
33,0.7709999847412109,0.3529999923706055,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309920,Pass,11644,8,Riyad Mahrez,Kyle Walker,750,SavedShot,2019,LeftFoot,OpenPlay,0.02493038959801197
34,0.8069999694824219,0.36,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309921,Pass,11644,14,David Silva,Riyad Mahrez,617,MissedShots,2019,LeftFoot,OpenPlay,0.02933754399418831
35,0.8680000305175781,0.34,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309922,TakeOn,11644,18,Riyad Mahrez,Kevin De Bruyne,750,BlockedShot,2019,RightFoot,OpenPlay,0.0883905366063118
36,0.9119999694824219,0.3559999847412109,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309923,TakeOn,11644,20,Riyad Mahrez,Kevin De Bruyne,750,MissedShots,2019,LeftFoot,OpenPlay,0.31343305110931396
37,0.9490000152587891,0.4370000076293945,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309924,Pass,11644,24,Gabriel Jesus,Kyle Walker,5543,Goal,2019,LeftFoot,OpenPlay,0.1451921910047531
38,0.87,0.4779999923706055,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309925,Chipped,11644,26,Kyle Walker,Riyad Mahrez,638,BlockedShot,2019,Head,OpenPlay,0.04248353838920593
39,0.855,0.67,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309927,Pass,11644,37,Kevin De Bruyne,David Silva,447,SavedShot,2019,RightFoot,OpenPlay,0.04848058521747589
40,0.8130000305175781,0.5709999847412109,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309928,None,11644,45,Gabriel Jesus,,5543,SavedShot,2019,RightFoot,OpenPlay,0.06130170449614525
41,0.889000015258789,0.55,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309929,Aerial,11644,49,Raheem Sterling,Oleksandr Zinchenko,618,SavedShot,2019,Head,OpenPlay,0.040737271308898926
42,0.8819999694824219,0.605999984741211,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309930,Pass,11644,50,Raheem Sterling,Kevin De Bruyne,618,Goal,2019,LeftFoot,OpenPlay,0.4330686628818512
43,0.8019999694824219,0.6580000305175782,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309931,Pass,11644,56,Oleksandr Zinchenko,David Silva,2958,MissedShots,2019,LeftFoot,OpenPlay,0.07983990013599396
44,0.92,0.4540000152587891,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309935,Throughball,11644,74,Raheem Sterling,Riyad Mahrez,618,Goal,2019,RightFoot,OpenPlay,0.5830137729644775
45,0.885,0.5,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309936,Standard,11644,85,Sergio Agüero,,619,Goal,2019,RightFoot,Penalty,0.7611320614814758
46,0.9109999847412109,0.4209999847412109,5,Manchester City,2019-08-10 12:30:00,a,0,West Ham,309937,Throughball,11644,90,Raheem Sterling,Riyad Mahrez,618,Goal,2019,RightFoot,OpenPlay,0.532427191734314
47,0.7080000305175781,0.5179999923706055,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309940,BallRecovery,11645,4,Jefferson Lerma,Nathan Aké,2182,MissedShots,2019,RightFoot,OpenPlay,0.014039821922779083
48,0.745999984741211,0.47400001525878904,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309942,Pass,11645,25,Philip Billing,Diego Rico,6034,MissedShots,2019,LeftFoot,FromCorner,0.02280767261981964
49,0.9019999694824219,0.3629999923706055,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309944,BallTouch,11645,44,Chris Mepham,Philip Billing,7384,MissedShots,2019,RightFoot,OpenPlay,0.07839858531951904
50,0.7909999847412109,0.40900001525878904,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309948,Pass,11645,52,Jefferson Lerma,Joshua King,2182,BlockedShot,2019,RightFoot,OpenPlay,0.03404170274734497
51,0.8430000305175781,0.49900001525878906,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309949,Aerial,11645,55,Joshua King,,465,BlockedShot,2019,RightFoot,SetPiece,0.02785542607307434
52,0.7519999694824219,0.534000015258789,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309950,None,11645,58,Philip Billing,,6034,SavedShot,2019,LeftFoot,OpenPlay,0.020583538338541985
53,0.884000015258789,0.4879999923706055,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309951,Cross,11645,60,Nathan Aké,Ryan Fraser,579,MissedShots,2019,Head,FromCorner,0.038752660155296326
54,0.925,0.54,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309952,HeadPass,11645,61,Nathan Aké,Philip Billing,579,BlockedShot,2019,RightFoot,SetPiece,0.10787124931812286
55,0.9669999694824218,0.5129999923706055,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309953,Rebound,11645,61,Callum Wilson,Nathan Aké,468,SavedShot,2019,LeftFoot,SetPiece,0.7979027628898621
56,0.9590000152587891,0.5529999923706055,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309954,Rebound,11645,61,Chris Mepham,,7384,Goal,2019,RightFoot,SetPiece,0.6191138625144958
57,0.8480000305175781,0.59,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309955,None,11645,75,Steve Cook,,458,MissedShots,2019,RightFoot,SetPiece,0.05648605525493622
58,0.749000015258789,0.6909999847412109,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309956,None,11645,77,Diego Rico,,5065,MissedShots,2019,LeftFoot,FromCorner,0.013739189133048058
59,0.8069999694824219,0.6270000076293946,1,Sheffield United,2019-08-10 15:00:00,h,1,Bournemouth,309959,Standard,11645,91,Ryan Fraser,,1683,MissedShots,2019,RightFoot,DirectFreekick,0.10296127200126648
60,0.815,0.534000015258789,1,Sheffield United,2019-08-10 15:00:00,a,1,Bournemouth,309939,Chipped,11645,0,David McGoldrick,John Lundstram,7711,SavedShot,2019,RightFoot,OpenPlay,0.28609544038772583
61,0.7530000305175781,0.43599998474121093,1,Sheffield United,2019-08-10 15:00:00,a,1,Bournemouth,309941,Pass,11645,20,Callum Robinson,John Fleck,4476,SavedShot,2019,RightFoot,OpenPlay,0.024418622255325317
62,0.7519999694824219,0.30700000762939456,1,Sheffield United,2019-08-10 15:00:00,a,1,Bournemouth,309943,Pass,11645,41,John Lundstram,John Fleck,7708,MissedShots,2019,LeftFoot,FromCorner,0.018958929926156998
